,Reason,X,DOI,Title,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
360,NEED,360,10.1177/1948550619869613,Religiosity predicts evidentiary standards,religiosity predicts evidentiary standards,4,"EJC Lobato, S Tabatabaeian…",2020,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1948550619869613,"https://scholar.google.com/scholar?cites=14339650369553064341&as_sdt=2005&sciodt=0,5&hl=en",102,FALSE,NA,4,1.33,1,3,3,"Research shows that religious and nonreligious individuals have different standards of evidence for religious and scientific claims. Here, in a preregistered replication and …",https://osf.io/b3ex4/download,"https://scholar.google.com/scholar?q=related:lWGCUAmsAMcJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
364,NEED,364,10.1177/1948550619873679,Toward Integration of the Niche Diversity Hypothesis With Other Explanations for Personality Covariation: Reply to Međedović's (2019) Commentary on Lukaszewski …,toward integration of the niche diversity hypothes,2,"A Lukaszewski, M Gurven…",2020,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1948550619873679,"https://scholar.google.com/scholar?cites=4080009614837969557&as_sdt=2005&sciodt=0,5&hl=en",111,FALSE,NA,2,0.67,1,3,3,The hypothesis of a human-universal personality structure is undermined by cross-cultural studies in small-scale societies. To explain cross-population differences in patterns of …,https://gurven.anth.ucsb.edu/sites/default/files/sitefiles/papers/Lukaszewski%20et%20al_reply.pdf,"https://scholar.google.com/scholar?q=related:lXKYvCAbnzgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
426,IN LATER VOLUME,426,10.1177/1948550619899238,""" Who Gets to Vote?: Racialized Mental Images of Legitimate and Illegitimate Voters""(Sep, 10.1177/19485506211039408, 2021)",who gets to vote racialized mental images of legit,0,"JL Brown-Iannuzzi, E Cooley…",2022,… SCIENCE,SAGE PUBLICATIONS INC 2455 …,NA,NA,130,TRUE,NA,0,0,0,3,1,NA,NA,"https://scholar.google.com/scholar?q=related:dZc5rNWeL6MJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
686,IN LATER VOLUME,686,10.1177/19485506221125416,"Happy days: Resolving the structure of daily subjective well-being, between and within individuals",happy days resolving the structure of daily subjec,3,"MA Busseri, DB Newman",2022,… Psychological and Personality …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221125416,"https://scholar.google.com/scholar?cites=16844612950933186071&as_sdt=2005&sciodt=0,5&hl=en",54,FALSE,NA,3,3,2,2,1,"We address the long-standing confusion concerning the conceptualization and structure of subjective well-being (SWB) by examining daily variation in life satisfaction (LS), positive …",https://www.researchgate.net/profile/David-Newman-9/publication/364026650_Happy_days_Resolving_the_structure_of_daily_subjective_well-being_between_and_within_individuals/links/6336635c769781354ea653ff/Happy-Days-Resolving-the-Structure-of-Daily-Subjective-Well-Being-Between-and-Within-Individuals.pdf,"https://scholar.google.com/scholar?q=related:FyZRdzsWxOkJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
687,IN LATER VOLUME,687,10.1177/19485506221127483,"Going beyond traits: Social, emotional, and behavioral skills matter for adolescents' success",going beyond traits social emotional and behaviora,10,"CJ Soto, CM Napolitano, MN Sewell…",2022,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221127483,"https://scholar.google.com/scholar?cites=9911398105798589918&as_sdt=2005&sciodt=0,5&hl=en",31,FALSE,NA,10,10,3,4,1,"The present research addresses three key questions about social, emotional, and behavioral (SEB) skills. First, how do SEB skills relate with the Big Five traits and …",https://journals.sagepub.com/doi/pdf/10.1177/19485506221127483,"https://scholar.google.com/scholar?q=related:3r2aexBcjIkJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
688,IN LATER VOLUME,688,10.1177/19485506221137958,Understanding the Links Between Perceiving Gratitude and Romantic Relationship Satisfaction Using an Accuracy and Bias Framework,understanding the links between perceiving gratitu,1,"H Tissera, ML Visserman, EA Impett…",2022,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221137958,"https://scholar.google.com/scholar?cites=4080548395655611006&as_sdt=2005&sciodt=0,5&hl=en",90,FALSE,NA,1,1,0,4,1,Perceiving a partner's gratitude has several benefits for romantic relationships. We aimed to better understand these associations by decomposing perceptions into accuracy and bias …,https://journals.sagepub.com/doi/pdf/10.1177/19485506221137958,"https://scholar.google.com/scholar?q=related:fsLXayUFoTgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
689,IN LATER VOLUME,689,10.1177/19485506221141144,Does Identity Fusion Moderate the Motivational Primacy of the Individual Self?,does identity fusion moderate the motivational pri,1,"A Heger, VA Voorhees, B Porter…",2022,Social Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221141144,"https://scholar.google.com/scholar?cites=8495102399752721719&as_sdt=2005&sciodt=0,5&hl=en",70,FALSE,NA,1,1,0,4,1,Research indicates that the individual self lies closer to the motivational core of the self-concept than does the collective self. Four studies tested whether identity fusion alters the …,NA,"https://scholar.google.com/scholar?q=related:N1XUo5-q5HUJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
691,IN LATER VOLUME,691,10.1177/19485506221141987,Think of What Really Matters: Structured Analysis of Personal Criteria can Save Lives,think of what really matters structured analysis o,1,"T Gordon-Hecker, T Kogut",2022,… Psychological and Personality …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221141987,"https://scholar.google.com/scholar?cites=1241511792594446163&as_sdt=2005&sciodt=0,5&hl=en",104,FALSE,NA,1,1,1,2,1,Helping decisions are susceptible to many biases—partly due to the helpers' spontaneous emotional reactions to the appeal diverting their attention from the need to maximize the …,https://journals.sagepub.com/doi/pdf/10.1177/19485506221141987,"https://scholar.google.com/scholar?q=related:U-cMxmW8OhEJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
692,IN LATER VOLUME,692,10.1177/19485506221142970,Perceiving a Danger Within: Black Americans Associate Black Men With Physical Threat,perceiving a danger within black americans associa,2,DS March,2022,Social Psychological and Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221142970,"https://scholar.google.com/scholar?cites=2860945741737623829&as_sdt=2005&sciodt=0,5&hl=en",103,FALSE,NA,2,2,2,1,1,Recent work suggests that good/bad out-group favoritism of Blacks for Whites may reflect positive associations with White rather than negative associations with Black. The Dual …,https://www.researchgate.net/profile/David-March-10/publication/366491189_Perceiving_a_Danger_Within_Black_Americans_Associate_Black_Men_With_Physical_Threat/links/63ab23e703aad5368e45b3d4/Perceiving-a-Danger-Within-Black-Americans-Associate-Black-Men-With-Physical-Threat.pdf,"https://scholar.google.com/scholar?q=related:FQHwgf4etCcJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
693,IN LATER VOLUME,693,10.1177/19485506221143593,Experience matters: Civic discussion increases self-efficacy and reduces forecasted discomfort in future conversations,experience matters civic discussion increases self,1,"N Geiger, JK Swim, RK Mallett…",2022,Social Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221143593,"https://scholar.google.com/scholar?cites=13126404688485032118&as_sdt=2005&sciodt=0,5&hl=en",93,FALSE,NA,1,1,0,4,1,"Interpersonal conversation about civic issues lays groundwork for cooperation and collective action, yet such conversation is uncommon. Across three studies (total N= 2,066), we find …",https://www.researchgate.net/profile/Nathaniel-Geiger/publication/365396398_Experience_matters_Civic_discussion_increases_self-efficacy_and_reduces_forecasted_discomfort_in_future_conversations/links/6373ac3f54eb5f547cd4898f/Experience-Matters-Civic-Discussion-Increases-Self-Efficacy-and-Reduces-Forecasted-Discomfort-in-Future-Conversations.pdf,"https://scholar.google.com/scholar?q=related:tiAse4RbKrYJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
